,B28H1808_2,Precipitation,Evaporation
2002-06-10,,0.0026875,0.0039666667000000004
2002-06-11,,0.0067374999999999996,0.0025624999999999997
2002-06-12,,0.008575,0.0028833333
2002-06-13,,0.0098625,0.0021333333
2002-06-14,,0.005,0.0010458333
2002-06-15,,0.0034500000000000004,0.0026291667000000003
2002-06-16,,0.00175,0.0029874999999999997
2002-06-17,,0.0009125,0.002425
2002-06-18,,0.000525,0.0053708333
2002-06-19,,0.0,0.0046375
2002-06-20,,0.0027500000000000003,0.0039291667
2002-06-21,,0.0023374999999999997,0.0013124999999999999
2002-06-22,,0.0004125,0.0028291667
2002-06-23,,0.0030624999999999997,0.0029958333
2002-06-24,,0.0018375,0.0037666667000000003
2002-06-25,,0.0,0.0038
2002-06-26,,0.0,0.0030333333
2002-06-27,,0.0,0.0038624999999999996
2002-06-28,,0.0020625,0.0037083333
2002-06-29,,0.0062375,0.0022624999999999998
2002-06-30,,0.003,0.0022
2002-07-01,,0.0008125,0.0018166667
2002-07-02,,0.003925,0.0009375
2002-07-03,,0.0081875,0.0024333333000000003
2002-07-04,,0.0078625,0.0009666667
2002-07-05,,0.0025125,0.0030083333000000003
2002-07-06,,0.000125,0.0031000000000000003
2002-07-07,,0.0006374999999999999,0.0022375
2002-07-08,,0.00033749999999999996,0.0019125
2002-07-09,,0.0,0.004775
2002-07-10,,0.0,0.0034625
2002-07-11,,0.011250000000000001,0.0007166667
2002-07-12,,0.006875,0.003475
2002-07-13,,0.0082,0.0039833333
2002-07-14,,0.005375,0.0017000000000000001
2002-07-15,,0.000425,0.0020791667
2002-07-16,,7.5e-05,0.0042083333
2002-07-17,,0.0,0.0020958333
2002-07-18,,0.0,0.0017124999999999998
2002-07-19,,0.0,0.0026583333000000002
2002-07-20,,0.0,0.0011666667
2002-07-21,,0.0044375,0.0033041667
2002-07-22,,0.005912499999999999,0.0025375
2002-07-23,,0.002325,0.0023083333
2002-07-24,,0.004475,0.001725
2002-07-25,,0.00255,0.0029458333000000002
2002-07-26,,0.0026249999999999997,0.0023291667
2002-07-27,,0.001575,0.0023
2002-07-28,,0.0,0.004025
2002-07-29,,0.0,0.0048666667
2002-07-30,,0.0,0.0049
2002-07-31,,0.0016875,0.0036541667
2002-08-01,,0.003575,0.003025
2002-08-02,,0.006725,0.0009874999999999999
2002-08-03,,0.0031125,0.0042541667
2002-08-04,,0.0023125,0.0012374999999999999
2002-08-05,,0.0038875,0.0034000000000000002
2002-08-06,,0.006062499999999999,0.00235
2002-08-07,,0.0073,0.0019166667
2002-08-08,,0.0027375,0.0027624999999999998
2002-08-09,,0.0,0.0028
2002-08-10,,0.006062499999999999,0.0028
